Subdivision,Year,Month,Rainfall_mm
Andaman & Nicobar Islands,1912,1,583.700
Andaman & Nicobar Islands,1912,2,0.800
Andaman & Nicobar Islands,1912,3,0.000
Andaman & Nicobar Islands,1912,4,21.900
Andaman & Nicobar Islands,1912,5,140.700
Andaman & Nicobar Islands,1912,6,549.800
Andaman & Nicobar Islands,1912,7,468.900
Andaman & Nicobar Islands,1912,8,370.300
Andaman & Nicobar Islands,1912,9,386.200
Andaman & Nicobar Islands,1912,10,318.700
Andaman & Nicobar Islands,1912,11,117.200
Andaman & Nicobar Islands,1912,12,2.300
Andaman & Nicobar Islands,1913,1,84.800
Andaman & Nicobar Islands,1913,2,0.500
Andaman & Nicobar Islands,1913,3,1.300
Andaman & Nicobar Islands,1913,4,2.500
Andaman & Nicobar Islands,1913,5,190.700
Andaman & Nicobar Islands,1913,6,530.000
Andaman & Nicobar Islands,1913,7,280.800
Andaman & Nicobar Islands,1913,8,205.800
Andaman & Nicobar Islands,1913,9,580.100
Andaman & Nicobar Islands,1913,10,288.800
Andaman & Nicobar Islands,1913,11,133.000
Andaman & Nicobar Islands,1913,12,67.500
Andaman & Nicobar Islands,1914,1,0.000
Andaman & Nicobar Islands,1914,2,0.000
Andaman & Nicobar Islands,1914,3,0.000
Andaman & Nicobar Islands,1914,4,37.700
Andaman & Nicobar Islands,1914,5,298.800
Andaman & Nicobar Islands,1914,6,383.300
Andaman & Nicobar Islands,1914,7,792.800
Andaman & Nicobar Islands,1914,8,520.500
Andaman & Nicobar Islands,1914,9,310.800
Andaman & Nicobar Islands,1914,10,139.800
Andaman & Nicobar Islands,1914,11,184.400
Andaman & Nicobar Islands,1914,12,289.700
Andaman & Nicobar Islands,1915,1,45.000
Andaman & Nicobar Islands,1915,2,56.700
Andaman & Nicobar Islands,1915,3,33.300
Andaman & Nicobar Islands,1915,4,40.900
Andaman & Nicobar Islands,1915,5,170.200
Andaman & Nicobar Islands,1915,6,334.700
Andaman & Nicobar Islands,1915,7,269.000
Andaman & Nicobar Islands,1915,8,317.200
Andaman & Nicobar Islands,1915,9,429.800
Andaman & Nicobar Islands,1915,10,468.100
Andaman & Nicobar Islands,1915,11,258.400
Andaman & Nicobar Islands,1915,12,318.000
Andaman & Nicobar Islands,1916,1,0.000
Andaman & Nicobar Islands,1916,2,0.000
Andaman & Nicobar Islands,1916,3,0.000
Andaman & Nicobar Islands,1916,4,0.500
Andaman & Nicobar Islands,1916,5,487.400
Andaman & Nicobar Islands,1916,6,450.100
Andaman & Nicobar Islands,1916,7,317.300
Andaman & Nicobar Islands,1916,8,425.000
Andaman & Nicobar Islands,1916,9,561.200
Andaman & Nicobar Islands,1916,10,369.700
Andaman & Nicobar Islands,1916,11,192.600
Andaman & Nicobar Islands,1916,12,133.700
Andaman & Nicobar Islands,1917,1,8.000
Andaman & Nicobar Islands,1917,2,3.600
Andaman & Nicobar Islands,1917,3,112.000
Andaman & Nicobar Islands,1917,4,4.500
Andaman & Nicobar Islands,1917,5,295.900
Andaman & Nicobar Islands,1917,6,301.100
Andaman & Nicobar Islands,1917,7,394.800
Andaman & Nicobar Islands,1917,8,437.400
Andaman & Nicobar Islands,1917,9,471.800
Andaman & Nicobar Islands,1917,10,238.100
Andaman & Nicobar Islands,1917,11,108.300
Andaman & Nicobar Islands,1917,12,236.900
Andaman & Nicobar Islands,1918,1,77.400
Andaman & Nicobar Islands,1918,2,6.900
Andaman & Nicobar Islands,1918,3,11.400
Andaman & Nicobar Islands,1918,4,10.700
Andaman & Nicobar Islands,1918,5,729.300
Andaman & Nicobar Islands,1918,6,710.800
Andaman & Nicobar Islands,1918,7,200.900
Andaman & Nicobar Islands,1918,8,455.400
Andaman & Nicobar Islands,1918,9,303.300
Andaman & Nicobar Islands,1918,10,227.000
Andaman & Nicobar Islands,1918,11,366.900
Andaman & Nicobar Islands,1918,12,175.000
Andaman & Nicobar Islands,1919,1,10.200
Andaman & Nicobar Islands,1919,2,18.000
Andaman & Nicobar Islands,1919,3,0.000
Andaman & Nicobar Islands,1919,4,35.500
Andaman & Nicobar Islands,1919,5,283.900
Andaman & Nicobar Islands,1919,6,542.500
Andaman & Nicobar Islands,1919,7,246.500
Andaman & Nicobar Islands,1919,8,259.800
Andaman & Nicobar Islands,1919,9,170.700
Andaman & Nicobar Islands,1919,10,186.200
Andaman & Nicobar Islands,1919,11,340.400
Andaman & Nicobar Islands,1919,12,258.400
Andaman & Nicobar Islands,1920,1,122.300
Andaman & Nicobar Islands,1920,2,7.400
Andaman & Nicobar Islands,1920,3,3.100
Andaman & Nicobar Islands,1920,4,13.000
Andaman & Nicobar Islands,1920,5,237.400
Andaman & Nicobar Islands,1920,6,546.900
Andaman & Nicobar Islands,1920,7,294.400
Andaman & Nicobar Islands,1920,8,467.400
Andaman & Nicobar Islands,1920,9,505.400
Andaman & Nicobar Islands,1920,10,397.500
Andaman & Nicobar Islands,1920,11,262.900
Andaman & Nicobar Islands,1920,12,85.500
Andaman & Nicobar Islands,1921,1,13.200
Andaman & Nicobar Islands,1921,2,3.100
Andaman & Nicobar Islands,1921,3,0.000
Andaman & Nicobar Islands,1921,4,37.500
Andaman & Nicobar Islands,1921,5,351.200
Andaman & Nicobar Islands,1921,6,282.700
Andaman & Nicobar Islands,1921,7,487.100
Andaman & Nicobar Islands,1921,8,330.000
Andaman & Nicobar Islands,1921,9,581.200
Andaman & Nicobar Islands,1921,10,360.700
Andaman & Nicobar Islands,1921,11,118.200
Andaman & Nicobar Islands,1921,12,41.500
Andaman & Nicobar Islands,1922,1,245.300
Andaman & Nicobar Islands,1922,2,34.300
Andaman & Nicobar Islands,1922,3,15.600
Andaman & Nicobar Islands,1922,4,323.100
Andaman & Nicobar Islands,1922,5,289.700
Andaman & Nicobar Islands,1922,6,506.100
Andaman & Nicobar Islands,1922,7,425.800
Andaman & Nicobar Islands,1922,8,307.400
Andaman & Nicobar Islands,1922,9,511.700
Andaman & Nicobar Islands,1922,10,162.000
Andaman & Nicobar Islands,1922,11,541.000
Andaman & Nicobar Islands,1922,12,192.200
Andaman & Nicobar Islands,1923,1,79.500
Andaman & Nicobar Islands,1923,2,0.000
Andaman & Nicobar Islands,1923,3,27.396
Andaman & Nicobar Islands,1923,4,91.300
Andaman & Nicobar Islands,1923,5,293.500
Andaman & Nicobar Islands,1923,6,808.400
Andaman & Nicobar Islands,1923,7,636.900
Andaman & Nicobar Islands,1923,8,182.200
Andaman & Nicobar Islands,1923,9,560.500
Andaman & Nicobar Islands,1923,10,131.900
Andaman & Nicobar Islands,1923,11,197.400
Andaman & Nicobar Islands,1923,12,70.600
Andaman & Nicobar Islands,1924,1,28.700
Andaman & Nicobar Islands,1924,2,0.000
Andaman & Nicobar Islands,1924,3,14.800
Andaman & Nicobar Islands,1924,4,89.700
Andaman & Nicobar Islands,1924,5,191.200
Andaman & Nicobar Islands,1924,6,261.200
Andaman & Nicobar Islands,1924,7,493.300
Andaman & Nicobar Islands,1924,8,290.900
Andaman & Nicobar Islands,1924,9,251.200
Andaman & Nicobar Islands,1924,10,331.100
Andaman & Nicobar Islands,1924,11,378.600
Andaman & Nicobar Islands,1924,12,18.935
Andaman & Nicobar Islands,1925,1,36.600
Andaman & Nicobar Islands,1925,2,0.000
Andaman & Nicobar Islands,1925,3,8.600
Andaman & Nicobar Islands,1925,4,50.400
Andaman & Nicobar Islands,1925,5,282.200
Andaman & Nicobar Islands,1925,6,663.800
Andaman & Nicobar Islands,1925,7,241.800
Andaman & Nicobar Islands,1925,8,278.200
Andaman & Nicobar Islands,1925,9,201.900
Andaman & Nicobar Islands,1925,10,249.500
Andaman & Nicobar Islands,1925,11,271.500
Andaman & Nicobar Islands,1925,12,196.000
Andaman & Nicobar Islands,1926,1,122.100
Andaman & Nicobar Islands,1926,2,0.000
Andaman & Nicobar Islands,1926,3,0.000
Andaman & Nicobar Islands,1926,4,0.500
Andaman & Nicobar Islands,1926,5,198.400
Andaman & Nicobar Islands,1926,6,370.000
Andaman & Nicobar Islands,1926,7,195.300
Andaman & Nicobar Islands,1926,8,523.700
Andaman & Nicobar Islands,1926,9,719.300
Andaman & Nicobar Islands,1926,10,443.800
Andaman & Nicobar Islands,1926,11,148.400
Andaman & Nicobar Islands,1926,12,560.700
Andaman & Nicobar Islands,1927,1,3.000
Andaman & Nicobar Islands,1927,2,17.500
Andaman & Nicobar Islands,1927,3,17.800
Andaman & Nicobar Islands,1927,4,108.600
Andaman & Nicobar Islands,1927,5,504.100
Andaman & Nicobar Islands,1927,6,433.300
Andaman & Nicobar Islands,1927,7,195.200
Andaman & Nicobar Islands,1927,8,370.100
Andaman & Nicobar Islands,1927,9,126.200
Andaman & Nicobar Islands,1927,10,327.500
Andaman & Nicobar Islands,1927,11,274.100
Andaman & Nicobar Islands,1927,12,65.500
