Subdivision,Year,Month,Rainfall_mm
Jharkhand,2012,4,9.600
Jharkhand,2012,5,6.600
Jharkhand,2012,6,121.100
Jharkhand,2012,7,287.200
Jharkhand,2012,8,282.400
Jharkhand,2012,9,217.600
Jharkhand,2012,10,37.800
Jharkhand,2012,11,48.600
Jharkhand,2012,12,7.600
Jharkhand,2013,1,1.100
Jharkhand,2013,2,17.900
Jharkhand,2013,3,1.600
Jharkhand,2013,4,22.300
Jharkhand,2013,5,85.000
Jharkhand,2013,6,181.500
Jharkhand,2013,7,211.100
Jharkhand,2013,8,278.100
Jharkhand,2013,9,173.800
Jharkhand,2013,10,281.100
Jharkhand,2013,11,0.000
Jharkhand,2013,12,0.000
Jharkhand,2014,1,9.900
Jharkhand,2014,2,47.500
Jharkhand,2014,3,22.900
Jharkhand,2014,4,1.900
Jharkhand,2014,5,98.200
Jharkhand,2014,6,139.700
Jharkhand,2014,7,321.300
Jharkhand,2014,8,290.900
Jharkhand,2014,9,178.200
Jharkhand,2014,10,44.900
Jharkhand,2014,11,0.000
Jharkhand,2014,12,1.200
Jharkhand,2015,1,12.200
Jharkhand,2015,2,2.600
Jharkhand,2015,3,21.600
Jharkhand,2015,4,55.500
Jharkhand,2015,5,25.500
Jharkhand,2015,6,183.300
Jharkhand,2015,7,429.700
Jharkhand,2015,8,240.700
Jharkhand,2015,9,85.100
Jharkhand,2015,10,22.700
Jharkhand,2015,11,0.200
Jharkhand,2015,12,2.700
Jharkhand,2016,1,12.600
Jharkhand,2016,2,7.600
Jharkhand,2016,3,17.500
Jharkhand,2016,4,1.000
Jharkhand,2016,5,72.800
Jharkhand,2016,6,122.900
Jharkhand,2016,7,301.000
Jharkhand,2016,8,395.600
Jharkhand,2016,9,287.500
Jharkhand,2016,10,45.600
Jharkhand,2016,11,0.000
Jharkhand,2016,12,0.000
Jharkhand,2017,1,5.100
Jharkhand,2017,2,0.100
Jharkhand,2017,3,4.500
Jharkhand,2017,4,6.100
Jharkhand,2017,5,55.900
Jharkhand,2017,6,116.000
Jharkhand,2017,7,492.100
Jharkhand,2017,8,246.000
Jharkhand,2017,9,134.000
Jharkhand,2017,10,103.400
Jharkhand,2017,11,2.300
Jharkhand,2017,12,0.200
Bihar,1901,1,51.800
Bihar,1901,2,19.600
Bihar,1901,3,11.900
Bihar,1901,4,1.100
Bihar,1901,5,65.600
Bihar,1901,6,66.300
Bihar,1901,7,245.900
Bihar,1901,8,319.400
Bihar,1901,9,155.100
Bihar,1901,10,8.300
Bihar,1901,11,7.300
Bihar,1901,12,0.100
Bihar,1902,1,4.600
Bihar,1902,2,0.700
Bihar,1902,3,24.300
Bihar,1902,4,17.300
Bihar,1902,5,66.300
Bihar,1902,6,118.200
Bihar,1902,7,361.000
Bihar,1902,8,225.500
Bihar,1902,9,358.700
Bihar,1902,10,28.500
Bihar,1902,11,1.100
Bihar,1902,12,0.000
Bihar,1903,1,5.300
Bihar,1903,2,4.700
Bihar,1903,3,2.000
Bihar,1903,4,4.700
Bihar,1903,5,28.200
Bihar,1903,6,192.900
Bihar,1903,7,115.000
Bihar,1903,8,342.600
Bihar,1903,9,173.900
Bihar,1903,10,147.000
Bihar,1903,11,0.100
Bihar,1903,12,0.000
Bihar,1904,1,6.300
Bihar,1904,2,1.700
Bihar,1904,3,3.500
Bihar,1904,4,5.300
Bihar,1904,5,118.700
Bihar,1904,6,191.600
Bihar,1904,7,394.400
Bihar,1904,8,351.300
Bihar,1904,9,84.400
Bihar,1904,10,98.100
Bihar,1904,11,10.600
Bihar,1904,12,3.800
Bihar,1905,1,16.000
Bihar,1905,2,30.100
Bihar,1905,3,32.600
Bihar,1905,4,21.400
Bihar,1905,5,77.500
Bihar,1905,6,50.500
Bihar,1905,7,409.100
Bihar,1905,8,495.300
Bihar,1905,9,353.900
Bihar,1905,10,11.600
Bihar,1905,11,0.000
Bihar,1905,12,0.600
Bihar,1906,1,14.400
Bihar,1906,2,56.900
Bihar,1906,3,8.600
Bihar,1906,4,0.900
Bihar,1906,5,44.700
Bihar,1906,6,191.300
Bihar,1906,7,366.200
Bihar,1906,8,430.100
Bihar,1906,9,118.700
Bihar,1906,10,32.900
Bihar,1906,11,0.400
Bihar,1906,12,0.000
Bihar,1907,1,1.300
Bihar,1907,2,55.200
Bihar,1907,3,39.400
Bihar,1907,4,27.000
Bihar,1907,5,32.900
Bihar,1907,6,232.200
Bihar,1907,7,282.400
Bihar,1907,8,242.200
Bihar,1907,9,206.900
Bihar,1907,10,4.800
Bihar,1907,11,0.000
Bihar,1907,12,2.100
Bihar,1908,1,14.700
Bihar,1908,2,38.600
Bihar,1908,3,6.100
Bihar,1908,4,2.200
Bihar,1908,5,36.700
Bihar,1908,6,94.000
Bihar,1908,7,202.300
Bihar,1908,8,167.300
Bihar,1908,9,149.900
Bihar,1908,10,25.400
Bihar,1908,11,0.000
Bihar,1908,12,0.300
Bihar,1909,1,7.000
Bihar,1909,2,6.300
Bihar,1909,3,0.000
Bihar,1909,4,72.800
Bihar,1909,5,25.800
Bihar,1909,6,446.000
Bihar,1909,7,256.200
Bihar,1909,8,352.400
Bihar,1909,9,175.400
Bihar,1909,10,43.100
Bihar,1909,11,0.000
Bihar,1909,12,5.600
Bihar,1910,1,2.400
Bihar,1910,2,4.800
Bihar,1910,3,6.600
Bihar,1910,4,5.700
Bihar,1910,5,51.500
Bihar,1910,6,279.500
Bihar,1910,7,365.100
Bihar,1910,8,328.800
Bihar,1910,9,258.500
Bihar,1910,10,73.800
Bihar,1910,11,21.700
Bihar,1910,12,0.000
Bihar,1911,1,9.400
Bihar,1911,2,0.100
Bihar,1911,3,28.200
Bihar,1911,4,13.100
Bihar,1911,5,41.700
Bihar,1911,6,312.300
Bihar,1911,7,199.000
Bihar,1911,8,425.500
Bihar,1911,9,279.100
Bihar,1911,10,122.800
Bihar,1911,11,17.800
Bihar,1911,12,0.000
Bihar,1912,1,5.500
Bihar,1912,2,8.500
Bihar,1912,3,23.900
Bihar,1912,4,25.400
Bihar,1912,5,62.700
Bihar,1912,6,146.800
Bihar,1912,7,362.400
Bihar,1912,8,302.900
Bihar,1912,9,104.700
Bihar,1912,10,14.000
Bihar,1912,11,72.600
Bihar,1912,12,0.000
Bihar,1913,1,0.000
Bihar,1913,2,38.000
Bihar,1913,3,18.100
Bihar,1913,4,1.400
Bihar,1913,5,106.100
Bihar,1913,6,379.900
Bihar,1913,7,258.800
Bihar,1913,8,363.000
Bihar,1913,9,270.300
Bihar,1913,10,61.000
Bihar,1913,11,0.500
Bihar,1913,12,32.800
Bihar,1914,1,0.200
Bihar,1914,2,22.700
Bihar,1914,3,8.000
Bihar,1914,4,29.000
Bihar,1914,5,77.000
Bihar,1914,6,84.400
Bihar,1914,7,269.100
Bihar,1914,8,460.400
Bihar,1914,9,98.400
Bihar,1914,10,10.100
Bihar,1914,11,0.000
Bihar,1914,12,0.600
Bihar,1915,1,8.200
Bihar,1915,2,57.100
Bihar,1915,3,22.500
Bihar,1915,4,6.400
Bihar,1915,5,72.500
Bihar,1915,6,149.100
Bihar,1915,7,321.300
Bihar,1915,8,415.000
Bihar,1915,9,185.100
Bihar,1915,10,75.300
Bihar,1915,11,36.700
Bihar,1915,12,0.300
Bihar,1916,1,0.600
Bihar,1916,2,16.500
Bihar,1916,3,0.300
Bihar,1916,4,25.300
Bihar,1916,5,25.100
Bihar,1916,6,270.300
Bihar,1916,7,445.600
Bihar,1916,8,325.200
Bihar,1916,9,265.200
Bihar,1916,10,130.100
Bihar,1916,11,0.400
Bihar,1916,12,0.000
Bihar,1917,1,2.700
Bihar,1917,2,19.700
Bihar,1917,3,7.900
Bihar,1917,4,5.800
Bihar,1917,5,103.300
Bihar,1917,6,227.800
Bihar,1917,7,328.700
Bihar,1917,8,249.300
Bihar,1917,9,272.100
Bihar,1917,10,116.500
Bihar,1917,11,0.000
Bihar,1917,12,0.200
Bihar,1918,1,0.600
Bihar,1918,2,0.100
Bihar,1918,3,1.800
Bihar,1918,4,29.500
Bihar,1918,5,105.400
Bihar,1918,6,251.600
Bihar,1918,7,240.300
Bihar,1918,8,519.200
Bihar,1918,9,254.400
Bihar,1918,10,8.600
Bihar,1918,11,0.100
Bihar,1918,12,0.000
Bihar,1919,1,40.200
Bihar,1919,2,7.700
Bihar,1919,3,3.800
Bihar,1919,4,11.600
Bihar,1919,5,42.300
Bihar,1919,6,195.000
Bihar,1919,7,417.800
Bihar,1919,8,230.100
Bihar,1919,9,244.800
Bihar,1919,10,58.600
Bihar,1919,11,0.000
Bihar,1919,12,0.700
Bihar,1920,1,0.000
Bihar,1920,2,19.200
Bihar,1920,3,31.000
Bihar,1920,4,2.600
Bihar,1920,5,28.800
Bihar,1920,6,108.900
Bihar,1920,7,361.600
Bihar,1920,8,228.500
Bihar,1920,9,337.600
Bihar,1920,10,5.600
Bihar,1920,11,0.000
Bihar,1920,12,0.000
Bihar,1921,1,26.800
Bihar,1921,2,0.600
Bihar,1921,3,6.500
Bihar,1921,4,21.200
Bihar,1921,5,26.300
Bihar,1921,6,132.400
Bihar,1921,7,303.800
Bihar,1921,8,422.000
Bihar,1921,9,295.800
Bihar,1921,10,37.000
Bihar,1921,11,0.000
Bihar,1921,12,0.000
Bihar,1922,1,12.200
Bihar,1922,2,4.600
Bihar,1922,3,0.000
Bihar,1922,4,9.600
Bihar,1922,5,22.000
Bihar,1922,6,345.800
Bihar,1922,7,427.300
Bihar,1922,8,363.500
Bihar,1922,9,241.300
Bihar,1922,10,15.700
Bihar,1922,11,0.700
Bihar,1922,12,6.500
Bihar,1923,1,1.300
Bihar,1923,2,35.100
Bihar,1923,3,1.500
Bihar,1923,4,13.500
Bihar,1923,5,38.100
Bihar,1923,6,171.700
Bihar,1923,7,253.900
Bihar,1923,8,243.200
Bihar,1923,9,148.900
Bihar,1923,10,74.400
Bihar,1923,11,0.700
Bihar,1923,12,0.400
Bihar,1924,1,2.500
Bihar,1924,2,12.700
Bihar,1924,3,1.800
Bihar,1924,4,8.800
Bihar,1924,5,14.800
Bihar,1924,6,170.600
Bihar,1924,7,514.000
Bihar,1924,8,295.700
Bihar,1924,9,320.300
Bihar,1924,10,53.100
Bihar,1924,11,61.700
Bihar,1924,12,0.200
Bihar,1925,1,7.700
Bihar,1925,2,1.800
Bihar,1925,3,7.700
Bihar,1925,4,52.900
Bihar,1925,5,38.600
Bihar,1925,6,130.400
Bihar,1925,7,322.900
Bihar,1925,8,331.500
Bihar,1925,9,269.400
Bihar,1925,10,17.600
Bihar,1925,11,11.000
Bihar,1925,12,0.000
Bihar,1926,1,16.300
Bihar,1926,2,0.600
Bihar,1926,3,29.700
Bihar,1926,4,12.800
Bihar,1926,5,47.000
Bihar,1926,6,48.100
Bihar,1926,7,451.500
Bihar,1926,8,276.000
Bihar,1926,9,211.600
Bihar,1926,10,17.600
Bihar,1926,11,1.800
Bihar,1926,12,8.700
Bihar,1927,1,24.200
Bihar,1927,2,36.400
Bihar,1927,3,31.900
Bihar,1927,4,3.100
Bihar,1927,5,52.900
Bihar,1927,6,115.900
Bihar,1927,7,301.500
Bihar,1927,8,242.700
Bihar,1927,9,231.400
Bihar,1927,10,21.500
Bihar,1927,11,38.600
Bihar,1927,12,0.200
Bihar,1928,1,41.200
Bihar,1928,2,21.500
Bihar,1928,3,0.100
Bihar,1928,4,18.300
Bihar,1928,5,54.300
Bihar,1928,6,208.000
Bihar,1928,7,377.200
Bihar,1928,8,272.900
Bihar,1928,9,83.300
Bihar,1928,10,164.300
Bihar,1928,11,0.900
Bihar,1928,12,7.600
Bihar,1929,1,51.600
Bihar,1929,2,1.100
Bihar,1929,3,11.400
Bihar,1929,4,16.200
Bihar,1929,5,33.100
Bihar,1929,6,190.200
Bihar,1929,7,328.800
Bihar,1929,8,326.300
Bihar,1929,9,124.700
Bihar,1929,10,231.400
Bihar,1929,11,0.000
Bihar,1929,12,44.400
Bihar,1930,1,11.600
Bihar,1930,2,7.600
Bihar,1930,3,13.600
Bihar,1930,4,6.600
Bihar,1930,5,28.600
Bihar,1930,6,144.600
Bihar,1930,7,298.200
Bihar,1930,8,247.800
Bihar,1930,9,290.900
Bihar,1930,10,30.400
Bihar,1930,11,24.000
Bihar,1930,12,10.400
Bihar,1931,1,1.300
Bihar,1931,2,32.400
Bihar,1931,3,11.400
Bihar,1931,4,1.600
Bihar,1931,5,27.500
Bihar,1931,6,75.900
Bihar,1931,7,441.300
Bihar,1931,8,218.800
Bihar,1931,9,248.200
Bihar,1931,10,76.100
Bihar,1931,11,11.200
Bihar,1931,12,0.700
Bihar,1932,1,0.000
Bihar,1932,2,8.200
Bihar,1932,3,0.500
Bihar,1932,4,14.800
Bihar,1932,5,26.600
Bihar,1932,6,152.100
Bihar,1932,7,164.300
Bihar,1932,8,249.300
Bihar,1932,9,191.200
Bihar,1932,10,32.400
Bihar,1932,11,78.700
Bihar,1932,12,8.900
Bihar,1933,1,28.300
Bihar,1933,2,13.100
Bihar,1933,3,0.700
Bihar,1933,4,62.100
Bihar,1933,5,90.300
Bihar,1933,6,197.000
Bihar,1933,7,377.300
Bihar,1933,8,377.800
Bihar,1933,9,167.800
Bihar,1933,10,77.600
Bihar,1933,11,0.300
Bihar,1933,12,0.300
Bihar,1934,1,30.100
Bihar,1934,2,13.700
Bihar,1934,3,3.000
Bihar,1934,4,9.100
Bihar,1934,5,22.000
Bihar,1934,6,165.500
Bihar,1934,7,432.600
Bihar,1934,8,251.300
Bihar,1934,9,231.200
Bihar,1934,10,55.200
Bihar,1934,11,9.800
Bihar,1934,12,2.800
Bihar,1935,1,21.000
Bihar,1935,2,19.600
Bihar,1935,3,0.600
Bihar,1935,4,0.700
Bihar,1935,5,21.900
Bihar,1935,6,127.900
Bihar,1935,7,193.800
Bihar,1935,8,481.700
Bihar,1935,9,370.300
Bihar,1935,10,2.600
Bihar,1935,11,0.100
Bihar,1935,12,0.100
Bihar,1936,1,7.700
Bihar,1936,2,6.900
Bihar,1936,3,4.600
Bihar,1936,4,7.700
Bihar,1936,5,84.300
Bihar,1936,6,188.900
Bihar,1936,7,462.200
Bihar,1936,8,261.500
Bihar,1936,9,449.200
Bihar,1936,10,88.800
Bihar,1936,11,0.400
Bihar,1936,12,10.300
Bihar,1937,1,0.000
Bihar,1937,2,66.300
Bihar,1937,3,0.800
Bihar,1937,4,10.700
Bihar,1937,5,80.000
Bihar,1937,6,113.600
Bihar,1937,7,217.900
Bihar,1937,8,441.800
Bihar,1937,9,179.300
Bihar,1937,10,194.600
Bihar,1937,11,0.300
Bihar,1937,12,1.100
Bihar,1938,1,12.400
Bihar,1938,2,17.000
Bihar,1938,3,0.000
Bihar,1938,4,2.900
Bihar,1938,5,115.500
Bihar,1938,6,382.400
Bihar,1938,7,362.100
Bihar,1938,8,385.100
Bihar,1938,9,201.400
Bihar,1938,10,27.100
Bihar,1938,11,0.800
Bihar,1938,12,0.000
Bihar,1939,1,5.000
Bihar,1939,2,42.300
Bihar,1939,3,11.300
Bihar,1939,4,1.700
Bihar,1939,5,41.500
Bihar,1939,6,230.400
Bihar,1939,7,315.000
Bihar,1939,8,277.100
Bihar,1939,9,262.000
Bihar,1939,10,56.900
Bihar,1939,11,0.000
Bihar,1939,12,0.000
Bihar,1940,1,0.900
Bihar,1940,2,43.800
Bihar,1940,3,65.500
Bihar,1940,4,5.000
Bihar,1940,5,31.900
Bihar,1940,6,114.600
Bihar,1940,7,317.600
Bihar,1940,8,314.900
Bihar,1940,9,171.600
Bihar,1940,10,4.900
Bihar,1940,11,0.000
Bihar,1940,12,17.500
Bihar,1941,1,16.200
Bihar,1941,2,2.800
Bihar,1941,3,0.700
Bihar,1941,4,4.600
Bihar,1941,5,67.100
Bihar,1941,6,177.700
Bihar,1941,7,248.800
Bihar,1941,8,466.000
Bihar,1941,9,190.200
Bihar,1941,10,47.800
Bihar,1941,11,1.100
Bihar,1941,12,0.000
Bihar,1942,1,34.400
Bihar,1942,2,43.500
Bihar,1942,3,14.700
Bihar,1942,4,18.200
Bihar,1942,5,28.100
Bihar,1942,6,174.700
Bihar,1942,7,253.500
Bihar,1942,8,330.400
Bihar,1942,9,347.200
Bihar,1942,10,7.000
Bihar,1942,11,0.000
Bihar,1942,12,0.900
Bihar,1943,1,34.700
Bihar,1943,2,16.900
Bihar,1943,3,0.200
Bihar,1943,4,40.700
Bihar,1943,5,37.000
Bihar,1943,6,169.800
Bihar,1943,7,296.000
Bihar,1943,8,322.100
Bihar,1943,9,215.400
Bihar,1943,10,37.000
Bihar,1943,11,0.000
Bihar,1943,12,0.000
Bihar,1944,1,27.300
Bihar,1944,2,32.600
Bihar,1944,3,42.000
Bihar,1944,4,34.100
Bihar,1944,5,21.900
Bihar,1944,6,223.900
Bihar,1944,7,253.500
Bihar,1944,8,322.800
Bihar,1944,9,221.300
Bihar,1944,10,48.500
Bihar,1944,11,0.200
Bihar,1944,12,0.800
Bihar,1945,1,50.700
Bihar,1945,2,24.000
Bihar,1945,3,1.400
Bihar,1945,4,32.400
Bihar,1945,5,57.800
Bihar,1945,6,120.500
Bihar,1945,7,226.900
Bihar,1945,8,265.600
Bihar,1945,9,305.500
Bihar,1945,10,154.800
Bihar,1945,11,0.000
Bihar,1945,12,3.200
Bihar,1946,1,0.000
Bihar,1946,2,21.300
Bihar,1946,3,5.000
Bihar,1946,4,52.300
Bihar,1946,5,88.600
Bihar,1946,6,168.700
Bihar,1946,7,354.700
Bihar,1946,8,267.800
Bihar,1946,9,271.800
Bihar,1946,10,148.700
Bihar,1946,11,14.900
Bihar,1946,12,0.000
Bihar,1947,1,5.600
Bihar,1947,2,5.600
Bihar,1947,3,10.200
Bihar,1947,4,7.500
Bihar,1947,5,57.700
Bihar,1947,6,89.400
Bihar,1947,7,394.400
Bihar,1947,8,244.600
Bihar,1947,9,215.300
Bihar,1947,10,61.500
Bihar,1947,11,0.100
Bihar,1947,12,0.300
Bihar,1948,1,11.100
Bihar,1948,2,7.500
Bihar,1948,3,3.600
Bihar,1948,4,11.300
Bihar,1948,5,46.300
Bihar,1948,6,114.600
Bihar,1948,7,409.000
Bihar,1948,8,329.800
Bihar,1948,9,248.900
Bihar,1948,10,81.000
Bihar,1948,11,36.200
Bihar,1948,12,0.000
Bihar,1949,1,16.500
Bihar,1949,2,42.800
Bihar,1949,3,5.700
Bihar,1949,4,35.500
Bihar,1949,5,93.100
Bihar,1949,6,200.200
Bihar,1949,7,341.700
Bihar,1949,8,386.500
Bihar,1949,9,217.900
Bihar,1949,10,103.400
Bihar,1949,11,1.100
Bihar,1949,12,0.000
Bihar,1950,1,9.800
Bihar,1950,2,11.800
Bihar,1950,3,22.100
Bihar,1950,4,2.200
Bihar,1950,5,43.300
Bihar,1950,6,346.500
Bihar,1950,7,257.000
Bihar,1950,8,313.300
Bihar,1950,9,113.400
Bihar,1950,10,3.000
Bihar,1950,11,0.100
Bihar,1950,12,2.100
Bihar,1951,1,7.300
Bihar,1951,2,1.500
Bihar,1951,3,5.800
Bihar,1951,4,8.200
Bihar,1951,5,22.800
Bihar,1951,6,144.500
Bihar,1951,7,307.800
Bihar,1951,8,204.500
Bihar,1951,9,114.300
Bihar,1951,10,28.700
Bihar,1951,11,4.700
Bihar,1951,12,0.100
Bihar,1952,1,1.100
Bihar,1952,2,10.300
Bihar,1952,3,20.100
Bihar,1952,4,24.600
Bihar,1952,5,57.000
Bihar,1952,6,272.500
Bihar,1952,7,212.500
Bihar,1952,8,291.900
Bihar,1952,9,297.700
Bihar,1952,10,15.400
Bihar,1952,11,3.400
Bihar,1952,12,0.400
Bihar,1953,1,29.700
Bihar,1953,2,4.200
Bihar,1953,3,8.700
Bihar,1953,4,16.700
Bihar,1953,5,37.400
Bihar,1953,6,224.700
Bihar,1953,7,431.800
Bihar,1953,8,263.300
Bihar,1953,9,342.200
Bihar,1953,10,18.400
Bihar,1953,11,0.900
Bihar,1953,12,0.800
Bihar,1954,1,12.500
Bihar,1954,2,8.400
Bihar,1954,3,0.800
Bihar,1954,4,0.600
Bihar,1954,5,40.900
Bihar,1954,6,166.600
Bihar,1954,7,366.100
Bihar,1954,8,308.600
Bihar,1954,9,129.500
Bihar,1954,10,15.100
Bihar,1954,11,0.200
Bihar,1954,12,1.300
Bihar,1955,1,20.000
Bihar,1955,2,6.700
Bihar,1955,3,2.300
Bihar,1955,4,11.900
Bihar,1955,5,28.200
Bihar,1955,6,172.500
Bihar,1955,7,505.700
Bihar,1955,8,268.700
Bihar,1955,9,192.200
Bihar,1955,10,35.700
Bihar,1955,11,0.300
Bihar,1955,12,0.100
Bihar,1956,1,19.300
Bihar,1956,2,4.700
Bihar,1956,3,9.600
Bihar,1956,4,5.300
Bihar,1956,5,75.400
Bihar,1956,6,319.400
Bihar,1956,7,200.600
Bihar,1956,8,286.300
Bihar,1956,9,359.800
Bihar,1956,10,168.800
Bihar,1956,11,36.000
Bihar,1956,12,8.100
Bihar,1957,1,75.200
Bihar,1957,2,2.800
Bihar,1957,3,11.600
Bihar,1957,4,0.500
Bihar,1957,5,1.300
Bihar,1957,6,115.600
Bihar,1957,7,334.500
Bihar,1957,8,295.800
Bihar,1957,9,115.200
Bihar,1957,10,11.600
Bihar,1957,11,0.000
Bihar,1957,12,2.700
Bihar,1958,1,16.000
Bihar,1958,2,2.700
Bihar,1958,3,4.700
Bihar,1958,4,26.400
Bihar,1958,5,16.100
Bihar,1958,6,120.700
Bihar,1958,7,222.800
Bihar,1958,8,451.100
Bihar,1958,9,224.200
Bihar,1958,10,81.500
Bihar,1958,11,0.700
Bihar,1958,12,0.600
Bihar,1959,1,81.200
Bihar,1959,2,1.500
Bihar,1959,3,9.400
Bihar,1959,4,18.600
Bihar,1959,5,35.700
Bihar,1959,6,132.300
Bihar,1959,7,245.800
Bihar,1959,8,264.200
Bihar,1959,9,157.100
Bihar,1959,10,233.800
Bihar,1959,11,0.000
Bihar,1959,12,0.100
Bihar,1960,1,1.400
Bihar,1960,2,0.100
Bihar,1960,3,42.700
Bihar,1960,4,5.200
Bihar,1960,5,49.900
Bihar,1960,6,117.600
Bihar,1960,7,357.400
Bihar,1960,8,285.500
Bihar,1960,9,348.100
Bihar,1960,10,37.900
Bihar,1960,11,2.000
Bihar,1960,12,0.000
Bihar,1961,1,11.700
Bihar,1961,2,35.800
Bihar,1961,3,1.400
Bihar,1961,4,2.000
Bihar,1961,5,33.900
Bihar,1961,6,239.700
Bihar,1961,7,211.600
Bihar,1961,8,317.500
Bihar,1961,9,157.500
Bihar,1961,10,236.000
Bihar,1961,11,0.800
Bihar,1961,12,10.100
Bihar,1962,1,13.000
Bihar,1962,2,7.800
Bihar,1962,3,9.500
Bihar,1962,4,20.800
Bihar,1962,5,38.800
Bihar,1962,6,156.400
Bihar,1962,7,244.300
Bihar,1962,8,395.400
Bihar,1962,9,216.300
Bihar,1962,10,72.500
Bihar,1962,11,0.000
Bihar,1962,12,3.200
Bihar,1963,1,3.400
Bihar,1963,2,1.700
Bihar,1963,3,9.400
Bihar,1963,4,17.500
Bihar,1963,5,78.900
Bihar,1963,6,154.000
Bihar,1963,7,375.400
Bihar,1963,8,273.500
Bihar,1963,9,255.700
Bihar,1963,10,138.700
Bihar,1963,11,17.800
Bihar,1963,12,0.200
Bihar,1964,1,1.400
Bihar,1964,2,3.300
Bihar,1964,3,2.400
Bihar,1964,4,21.900
Bihar,1964,5,59.300
Bihar,1964,6,134.700
Bihar,1964,7,453.600
Bihar,1964,8,157.700
Bihar,1964,9,219.000
Bihar,1964,10,66.300
Bihar,1964,11,2.700
Bihar,1964,12,0.000
Bihar,1965,1,0.400
Bihar,1965,2,1.200
Bihar,1965,3,15.700
Bihar,1965,4,7.100
Bihar,1965,5,7.700
Bihar,1965,6,98.800
Bihar,1965,7,302.200
Bihar,1965,8,328.300
Bihar,1965,9,215.000
Bihar,1965,10,22.200
Bihar,1965,11,1.800
Bihar,1965,12,2.400
Bihar,1966,1,21.200
Bihar,1966,2,6.900
Bihar,1966,3,0.100
Bihar,1966,4,0.900
Bihar,1966,5,39.500
Bihar,1966,6,114.500
Bihar,1966,7,155.500
Bihar,1966,8,308.300
Bihar,1966,9,83.100
Bihar,1966,10,18.300
Bihar,1966,11,17.100
Bihar,1966,12,1.600
Bihar,1967,1,0.200
Bihar,1967,2,0.100
Bihar,1967,3,38.600
Bihar,1967,4,30.600
Bihar,1967,5,23.600
Bihar,1967,6,80.700
Bihar,1967,7,278.200
Bihar,1967,8,282.100
Bihar,1967,9,253.800
Bihar,1967,10,10.300
Bihar,1967,11,0.100
Bihar,1967,12,1.500
Bihar,1968,1,29.100
Bihar,1968,2,1.700
Bihar,1968,3,7.000
Bihar,1968,4,3.000
Bihar,1968,5,17.300
Bihar,1968,6,261.800
Bihar,1968,7,329.600
Bihar,1968,8,293.100
Bihar,1968,9,79.200
Bihar,1968,10,113.300
Bihar,1968,11,0.000
Bihar,1968,12,4.900
Bihar,1969,1,5.200
Bihar,1969,2,9.300
Bihar,1969,3,9.700
Bihar,1969,4,20.700
Bihar,1969,5,64.400
Bihar,1969,6,193.100
Bihar,1969,7,348.400
Bihar,1969,8,379.400
Bihar,1969,9,219.100
Bihar,1969,10,15.300
Bihar,1969,11,23.600
Bihar,1969,12,0.300
Bihar,1970,1,22.100
Bihar,1970,2,13.400
Bihar,1970,3,3.200
Bihar,1970,4,17.900
Bihar,1970,5,39.200
Bihar,1970,6,194.600
Bihar,1970,7,284.200
Bihar,1970,8,235.600
Bihar,1970,9,229.500
Bihar,1970,10,34.500
Bihar,1970,11,0.400
Bihar,1970,12,0.000
Bihar,1971,1,17.300
Bihar,1971,2,14.600
Bihar,1971,3,5.100
Bihar,1971,4,91.400
Bihar,1971,5,81.500
Bihar,1971,6,278.000
Bihar,1971,7,307.000
Bihar,1971,8,367.900
Bihar,1971,9,129.200
Bihar,1971,10,138.600
Bihar,1971,11,1.900
Bihar,1971,12,0.000
Bihar,1972,1,12.900
Bihar,1972,2,38.000
Bihar,1972,3,2.700
Bihar,1972,4,3.200
Bihar,1972,5,3.400
Bihar,1972,6,56.700
Bihar,1972,7,163.400
Bihar,1972,8,154.900
Bihar,1972,9,209.700
Bihar,1972,10,48.400
Bihar,1972,11,24.600
Bihar,1972,12,0.000
Bihar,1973,1,22.900
Bihar,1973,2,10.200
Bihar,1973,3,3.800
Bihar,1973,4,4.400
Bihar,1973,5,65.000
Bihar,1973,6,200.900
Bihar,1973,7,185.100
Bihar,1973,8,258.900
Bihar,1973,9,271.400
Bihar,1973,10,158.200
Bihar,1973,11,8.300
Bihar,1973,12,0.000
Bihar,1974,1,3.900
Bihar,1974,2,0.700
Bihar,1974,3,21.900
Bihar,1974,4,9.900
Bihar,1974,5,39.100
Bihar,1974,6,129.400
Bihar,1974,7,451.600
Bihar,1974,8,317.500
Bihar,1974,9,229.200
Bihar,1974,10,28.000
Bihar,1974,11,0.300
Bihar,1974,12,3.700
Bihar,1975,1,9.100
Bihar,1975,2,4.100
Bihar,1975,3,12.000
Bihar,1975,4,11.000
Bihar,1975,5,34.400
Bihar,1975,6,143.200
Bihar,1975,7,403.100
Bihar,1975,8,155.200
Bihar,1975,9,245.300
Bihar,1975,10,51.700
Bihar,1975,11,0.000
Bihar,1975,12,0.000
Bihar,1976,1,2.300
Bihar,1976,2,12.400
Bihar,1976,3,0.900
Bihar,1976,4,8.900
Bihar,1976,5,80.100
Bihar,1976,6,147.100
Bihar,1976,7,221.000
Bihar,1976,8,292.800
Bihar,1976,9,372.600
Bihar,1976,10,22.400
Bihar,1976,11,0.700
Bihar,1976,12,0.500
Bihar,1977,1,5.300
Bihar,1977,2,2.900
Bihar,1977,3,1.300
Bihar,1977,4,17.000
Bihar,1977,5,83.700
Bihar,1977,6,102.500
Bihar,1977,7,375.500
